Код услуг	Наименование медицинских услуг
A16.20.076.002	Наложение клемм по Генкелю-Тиканадзе
A16.20.077	Установка внутриматочного баллона
A16.20.078	Реинфузия аутокрови (с использованием аппарата cell-saver)
A16.20.079	Вакуум-аспирация эндометрия
A16.20.080	Амниоскопия
A16.20.081	Промонтопексия лапаротомическая
A16.20.081.001	Промонтопексия с использованием видеоэндоскопических технологий
A16.20.082	Коррекция паравагинальных дефектов с использованием видеоэндоскопических технологий
A16.20.083	Кольпоперинеоррафия и леваторопластика
A16.20.084	Удаление полипа женских половых органов
A16.20.085	Маммопластика
A16.20.085.001	Маммопластика подгрудным доступом с применением эндопротеза, расположенного поджелезисто
A16.20.085.002	Маммопластика подгрудным доступом с применением эндопротеза, расположенного подмышечно
A16.20.085.003	Маммопластика подмышечным доступом с применением эндопротеза, расположенного поджелезисто
A16.20.085.004	Маммопластика подмышечным доступом с применением эндопротеза, расположенного подмышечно
A16.20.085.005	Маммопластика периареолярным доступом с применением эндопротеза, расположенного поджелезисто
A16.20.085.006	Маммопластика периареолярным доступом с применением эндопротеза, расположенного подмышечно
A16.20.085.007	Маммопластика уменьшающая с применением периареолярного доступа
A16.20.085.008	Маммопластика уменьшающая с применением вертикального доступа
A16.20.085.009	Маммопластика уменьшающая с применением доступа инвертированным Т
A16.20.085.010	Кожная пластика с применением периареолярного доступа (мастопексия)
A16.20.085.011	Кожная пластика с применением периареолярного и вертикального доступа (мастопексия)
A16.20.085.012	Кожная пластика с применением доступа инвертированным Т (мастопексия)
A16.20.086	Коррекция ареолярного комплекса молочных желез
A16.20.086.001	Пластика втянутых сосков
A16.20.087	Радикальная брюшная гистерэктомия
A16.20.088	Деторзия яичника
A16.20.089	Удаление новообразования придатков матки
A16.20.090	Снятие швов с шейки матки
A16.20.091	Марсупиализация абсцесса или кисты женских половых органов
A16.20.091.001	Марсупиализация абсцесса или кисты большой железы преддверия влагалища
A16.20.092	Удаление плодного яйца из маточной трубы
A16.20.092.001	Удаление плодного яйца из маточной трубы лапароскопическое
A16.20.093	Пластика маточной трубы
A16.20.094	Супрацервикальная гистерэктомия
A16.20.094.001	Супрацервикальная гистерэктомия без придатков лапароскопическая
A16.20.094.002	Супрацервикальная гистерэктомия с придатками лапароскопическая
A16.20.095	Ампутация шейки матки
A16.20.096	Удаление новообразования вульвы
A16.20.096.001	Электроэксцизия новообразования вульвы
A16.20.097	Электроэксцизия новообразования шейки матки
A16.20.098	Пластика малых половых губ
A16.20.099	Гистероскопическая миомэктомия
A16.20.099.001	Гистероскопическая миомэктомия электрохирургическая
A16.20.100	Экстирпация большой железы преддверия влагалища
A16.20.101	Энуклеация кисты большой железы преддверия влагалища
A16.20.102	Ушивание повреждения стенки матки при проникающем ранении или разрыве лапаротомическое
A16.20.103	Отсроченная реконструкция молочной железы с использованием эндопротеза
A16.21.001	Вскрытие и дренирование абсцесса простаты
A16.21.002	Трансуретральная резекция простаты
A16.21.002.001	Трансуретральная простатэктомия с помощью лазера
A16.21.003	Чреспузырная аденомэктомия
A16.21.004	Позадилонная аденомэктомия
A16.21.005	Лазерная вапоризация простаты
A16.21.006	Радикальная простатэктомия
A16.21.006.001	Радикальная промежностная простатэктомия
A16.21.006.002	Простатэктомия надлобковая с реконструкцией и пластикой шейки мочевого пузыря
A16.21.006.003	Радикальная позадилонная простатэктомия
A16.21.006.004	Радикальная лапароскопическая простатэктомия
A16.21.006.005	Нервосберегающая простатэктомия
A16.21.006.006	Позадилонная простатэктомия с расширенной лимфаденэктомией
A16.21.006.007	Простатэктомия роботассистированная
A16.21.007	Дренаж тканей вокруг простаты
A16.21.008	Остановка кровотечения (мужские половые органы)
A16.21.009	Ревизия мошонки
A16.21.010	Орхиэктомия
A16.21.010.001	Орхофуникулэктомия
A16.21.011	Вазотомия
A16.21.012	Вазэктомия
A16.21.013	Обрезание крайней плоти
A16.21.014	Реконструктивная операция на половом члене
A16.21.014.001	Восстановление и пластическая операция на половом члене. Корпоропластика пликационная
A16.21.014.002	Восстановление и пластическая операция на половом члене. Корпоропластика лоскутная
A16.21.015	Дренирование абсцесса мужских половых органов
A16.21.015.001	Дренирование абсцесса предстательной железы
A16.21.016	Протезирование яичка
A16.21.017	Репозиция яичка
A16.21.018	Низведение яичка
A16.21.019	Фаллопластика
A16.21.019.001	Фаллопластика с протезированием однокомпонентным протезом
A16.21.019.002	Фаллопластика с протезированием трехкомпонентным протезом
A16.21.019.003	Фаллопластика мышечно-фасциальным лоскутом
A16.21.021	Наложение вазо-вазоанастомоза
A16.21.022	Наложение вазо-эпидидимоанастомоза
A16.21.023	Удаление придатка яичка
A16.21.024	Иссечение оболочек яичка
A16.21.025	Пластика оболочек яичка
A16.21.027	Коррекция гинекомастии
A16.21.028	Реваскуляризация полового члена
A16.21.029	Маскулинизирующая пластика наружных гениталий
A16.21.030	Ампутация полового члена (пенэктомия)
A16.21.031	Разрез мошонки и влагалищной оболочки
A16.21.032	Иссечение яичка
A16.21.033	Пересадка яичка
A16.21.034	Вазулэктомия
A16.21.035	Прошивание белочной оболочки полового члена
A16.21.036	Пластика мошонки
A16.21.037	Иссечение кисты мужских половых органов
A16.21.037.001	Иссечение кисты придатка яичка
A16.21.037.002	Иссечение кисты семенного канатика
A16.21.037.003	Иссечение кисты яичка
A16.21.038	Пластика уздечки крайней плоти
A16.21.039	Ушивание яичка
A16.21.040	Энуклеация кисты придатка яичка
A16.21.041	Трансуретральная энуклеация простаты
A16.21.041.001	Лазерная энуклеация простаты
A16.21.042	Резекция полового члена
A16.21.043	Удаление доброкачественных новообразований полового члена
A16.21.044	Реконструктивная операция кожи полового члена
A16.21.045	Реконструктивная операция кожи мошонки
A16.21.046	Наложение кавернозоспонгиоанастомоза
A16.21.047	Ушивание кавернозного тела
A16.21.048	Резекция придатка яичка
A16.21.049	Эмболизация яичниковой вены
A16.22.001	Гемитиреоидэктомия
A16.22.001.001	Гемитиреоидэктомия с использованием видеоэндоскопических технологий
A16.22.001.002	Гемитиреоидэктомия с микрохирургической пластикой
A16.22.001.003	Гемитиреоидэктомия с истмусэктомией с использованием видеоэндоскопических технологий
A16.22.002	Тиреоидэктомия
A16.22.002.001	Тиреоидэктомия с использованием видеоэндоскопических технологий
A16.22.002.002	Тиреоидэктомия с микрохирургической пластикой
A16.22.002.003	Тиреоидэктомия с микрохирургическим невролизом возвратного гортанного нерва
A16.22.003	Паратиреоидэктомия
A16.22.004	Частичная адреналэктомия
A16.22.004.001	Односторонняя адреналэктомия лапаротомным доступом
A16.22.004.002	Односторонняя адреналэктомия люмботомным доступом
A16.22.004.003	Односторонняя адреналэктомия торакофренотомным доступом
A16.22.005	Гипофизэктомия
A16.22.005.001	Гипофизэктомия трансназальным доступом
A16.22.005.002	Гипофизэктомия транскраниальным доступом
A16.22.006	Криогипофизэктомия
A16.22.007	Субтотальная резекция щитовидной железы
A16.22.007.001	Резекция щитовидной железы субтотальная с использованием видеоэндоскопических технологий
A16.22.007.002	Предельно-субтотальная резекция щитовидной железы
A16.22.007.003	Резекция щитовидной железы субтотальная с использованием видеоэндоскопических технологий и флюоресцентной навигацией паращитовидных желез
A16.22.007.004	Резекция щитовидной железы с микрохирургическим невролизом возвратного гортанного нерва
A16.22.008	Удаление паратиреоаденом
A16.22.009	Субтотальная адреналэктомия
A16.22.010	Тотальная адреналэктомия
A16.22.010.001	Двухсторонняя адреналэктомия лапаратомным доступом
A16.22.011	Удаление феохромоцитомы
A16.22.012	Удаление камней из протоков слюнных желез
A16.22.013	Частичная паратиреоидэктомия
A16.22.014	Удаление новообразования гипофиза
A16.22.014.001	Удаление новообразования гипофиза трансназальным доступом
A16.22.014.002	Удаление новообразования гипофиза транскраниальным доступом
A16.22.014.003	Удаление новообразования гипофиза трансназальным микроскопическим доступом
A16.22.014.004	Удаление новообразования гипофиза с применением микрохирургической техники и интраоперационной навигации
A16.22.014.005	Удаление новообразования гипофиза эндоназальным доступом с использованием видеоэндоскопических технологий
A16.22.014.006	Удаление новообразования гипофиза трансназальным доступом с использованием видеоэндоскопических технологий
A16.22.015	Эндоскопическая адреналэктомия односторонняя
A16.22.015.001	Эндоскопическая адреналэктомия двухсторонняя
A16.23.001	Пункция желудочка головного мозга
A16.23.002	Краниотомия
A16.23.003	Формирование трепанационных отверстий в костях черепа
A16.23.004	Разрез головного мозга и мозговых оболочек
A16.23.005	Иссечение поврежденных костей черепа
A16.23.005.001	Иссечение поврежденных костей черепа с одномоментной пластикой дефекта ауто- или аллотрансплантатом
A16.23.006	Краниопластика
A16.23.006.001	Коррекция положения эпидуральных спинальных электродов
A16.23.007	Вентрикулостомия
A16.23.007.001	Вентрикулостомия третьего желудочка головного мозга с использованием видеоэндоскопических технологий
A16.23.009	Установка вентрикуло-цистернального дренажа
A16.23.009.001	Установка вентрикуло-цистернального дренажа с использованием видеоэндоскопических технологий
A16.23.010	Установка внечерепного желудочкового шунта
A16.23.011	Наложение анастомоза вентрикуло-атриального
A16.23.012	Удаление абсцесса головного мозга с капсулой
A16.23.013	Вскрытие абсцесса головного мозга и дренирование
A16.23.014	Удаление кисты головного мозга
A16.23.014.001	Удаление кисты головного мозга с применением микрохирургической техники
A16.23.014.002	Удаление кисты головного мозга с применением микрохирургической техники и интраоперационной навигации
A16.23.015	Пункция гематомы головного мозга
A16.23.016	Декомпрессивная трепанация
A16.23.016.001	Декомпрессия краниовертебрального перехода
A16.23.017	Удаление гематомы головного мозга
A16.23.017.001	Закрытое дренирование гематомы головного мозга при помощи фибринолитических препаратов
A16.23.017.002	Удаление внутримозговой гематомы больших полушарий головного мозга с коагуляцией патологических сосудов артериовенозной мальформации
A16.23.017.003	Удаление внутримозговой гематомы задней черепной ямки с иссечением артериовенозной мальформации
A16.23.017.004	Удаление внутримозговой гематомы задней черепной ямки с коагуляцией патологических сосудов артериовенозной альформации
A16.23.017.005	Удаление внутримозговой гематомы больших полушарий головного мозга с иссечением артериовенозной мальформации глубинных структур
A16.23.017.006	Удаление внутримозговой гематомы больших полушарий головного мозга с иссечением артериовенозной мальформации
A16.23.017.007	Удаление гематом больших полушарий головного мозга
A16.23.017.008	Удаление гематом мозжечка
A16.23.017.009	Удаление гематом глубинных структур головного мозга
A16.23.017.010	Удаление эпидуральной гематомы головного мозга
A16.23.017.011	Закрытое наружное дренирование субдуральной гематомы
A16.23.018	Пластика твердой мозговой оболочки
A16.23.019	Пластика черепных нервов
A16.23.020	Реконструктивные операции при врожденных грыжах черепа
A16.23.020.001	Реконструктивные операции при врожденных грыжах черепа с лобноглазничной реконструкцией
A16.23.020.002	Реконструктивные операции при врожденных грыжах черепа с реконструкцией черепноглазничнолицевого комплекса
A16.23.020.003	Реконструктивные операции при врожденных грыжах черепа с реконструкцией костей носа
A16.23.021	Пластика верхнего сагиттального синуса
A16.23.022	Трепанация черепа
A16.23.023	Стереотаксические операции на головном мозге
A16.23.023.001	Стереотаксическая биопсия опухоли головного мозга
A16.23.024	Удаление новообразований головного мозга микрохирургическое
A16.23.024.001	Микрохирургическое удаление новообразований больших полушарий головного мозга с применением стереотаксического наведения и интраоперационной навигации
A16.23.024.002	Микрохирургическое удаление новообразований больших полушарий головного мозга с применением интраоперационной флюоресцентной микроскопии, лазерной спектроскопии, эндоскопии или эндоскопической ассистенции
A16.23.024.003	Микрохирургическое удаление новообразований больших полушарий головного мозга с применением нейрофизиологического мониторирования
A16.23.025	Удаление пораженного вещества головного мозга
A16.23.026	Удаление участков мозговой оболочки
A16.23.027	Перевязка кровеносных сосудов головного мозга
A16.23.028	Удаление субдуральной гематомы
A16.23.029	Кортикальная топэктомия
A16.23.030	Лобэктомия (удаление доли головного мозга)
A16.23.030.001	Роботассистированная лобэктомия
A16.23.031	Амигдалогиппокампэктомия
A16.23.032	Удаление новообразования основания черепа
A16.23.032.001	Удаление новообразования основания черепа микрохирургическое
A16.23.032.002	Удаление новообразования основания черепа микрохирургическое с пластикой дефекта основания черепа ауто- или искусственными имплантами
A16.23.032.003	Удаление новообразования основания черепа микрохирургическое трансоральным доступом с пластикой дефекта основания черепа ауто- или искусственными имплантами
A16.23.032.004	Удаление новообразования основания черепа микрохирургическое трансназальным доступом с пластикой дефекта основания черепа ауто- или искусственными имплантами
A16.23.032.005	Удаление новообразования основания черепа трансназальное микрохирургическое с применением эндоскопической техники и пластикой дефекта основания черепа ауто- или искусственными имплантами
A16.23.032.006	Удаление новообразования основания черепа трансназальное микрохирургическое с пластикой дефекта основания черепа ауто- или искусственными имплантами
A16.23.033	Удаление новообразования спинного мозга
A16.23.033.001	Удаление новообразования спинного мозга микрохирургическое
A16.23.033.002	Микрохирургическое удаление новообразований спинного мозга с применением нейрофизиологического мониторинга
A16.23.033.003	Микрохирургическое удаление новообразований спинного мозга с применением систем, стабилизирующих позвоночник
A16.23.034	Клипирование шейки аневризмы артерий головного мозга
A16.23.034.001	Клипирование шейки аневризмы внутренней сонной артерии
A16.23.034.002	Клипирование шейки аневризмы средней мозговой артерии
A16.23.034.003	Клипирование шейки аневризмы передней мозговой артерии
A16.23.034.004	Клипирование шейки аневризмы базиллярной артерии (бифуркации) путем хирургических доступов с резекцией костей основания черепа
A16.23.034.005	Клипирование шейки аневризмы дистальных сегментов артерий головного мозга
A16.23.034.006	Клипирование шейки аневризмы задней нижней мозжечковой артерии
A16.23.034.007	Клипирование шейки аневризмы каротидно-офтальмического сегмента
A16.23.034.008	Клипирование шейки аневризмы в случаях множественных аневризм головного мозга
A16.23.034.009	Эндоваскулярная трансартериальная окклюзия полости аневризмы с помощью микроспиралей
A16.23.034.010	Эндоваскулярная трансартериальная окклюзия полости аневризмы с помощью микроспиралей при поддержке стента
A16.23.034.011	Локальный эндоваскулярный трансвенозный тромболизис
A16.23.034.012	Локальный эндоваскулярный трансартериальный тромболизис
A16.23.034.013	Локальная эндоваскулярная трансартериальная тромбоэкстракция
A16.23.035	Укрепление стенок аневризмы артерий головного мозга
A16.23.036	Клипирование шейки аневризмы артерий головного мозга крупных и гигантских размеров
A16.23.036.001	Клипирование шейки аневризмы артерий головного мозга крупных и гигантских размеров с применением внутрисосудистой аспирации крови открытым способом
A16.23.036.002	Клипирование шейки аневризмы артерий головного мозга крупных и гигантских размеров с применением внутрисосудистой аспирации крови эндоваскулярным способом
A16.23.036.003	Клипирование несущей аневризму артерии двумя клипсами
A16.23.036.004	Клипирование и окклюзия баллоном несущей аневризму артерии
A16.23.037	Установка субдурального или желудочкового датчика внутричерепного давления
A16.23.038	Удаление новообразования оболочек головного мозга
A16.23.038.001	Удаление новообразования оболочек головного мозга микрохирургическое
A16.23.038.002	Удаление новообразования оболочек головного мозга микрохирургическое с пластикой твердой мозговой оболочки ауто- или искусственными имплантами
A16.23.038.003	Удаление новообразования оболочек головного мозга микрохирургическое с пластикой твердой мозговой оболочки и свода черепа ауто- или искусственными имплантами
A16.23.038.004	Удаление новообразования оболочек головного мозга микрохирургическое с пластикой твердой мозговой оболочки и венозных синусов ауто- или искусственными имплантами
A16.23.038.005	Удаление новообразования оболочек головного мозга микрохирургическое с пластикой твердой мозговой оболочки, свода черепа и венозных синусов ауто- или искусственными имплантами
A16.23.038.006	Удаление новообразования оболочек головного мозга с применением микрохирургической техники и интраоперационной навигации
A16.23.038.007	Удаление новообразования оболочек головного мозга микрохирургическое с пластикой твердой мозговой оболочки, свода черепа и венозных синусов сложно-составными лоскутами
A16.23.039	Имплантация временных электродов для нейростимуляции спинного мозга и периферических нервов
A16.23.040	Каллозотомия
A16.23.040.001	Каллозотомия микрохирургическая
A16.23.041	Гемисферотомия функциональная
A16.23.041.001	Гемисферотомия функциональная микрохирургическая
A16.23.042	Имплантация программируемой системы в область блуждающего нерва
A16.23.042.001	Костная пластика челюстно-лицевой области с использованием аутокостных трансплантатов и/или искусственных имплантов
A16.23.042.002	Костная пластика челюстно-лицевой области с использованием контракционно-дистракционных аппаратов
A16.23.043	Люмбо-перитонеальное шунтирование
A16.23.044	Люмбальный дренаж наружный
A16.23.045	Реконструкция лобно-глазничного комплекса с выдвижением
A16.23.046	Пластика дефекта основания черепа
A16.23.046.001	Пластика дефекта основания черепа с использованием аутотрансплантации костей свода черепа
A16.23.047	Дренирование боковых желудочков головного мозга наружное
A16.23.048	Удаление черепно-лицевого новообразования
A16.23.048.001	Удаление черепно-лицевого новообразования микрохирургическое с пластикой дефекта основания черепа ауто- или искусственными имплантами
A16.23.048.002	Удаление черепно-лицевого новообразования микрохирургическое с применением эндоскопической техники и пластикой дефекта основания черепа ауто- или искусственными имплантами
A16.23.049	Резекция черепно-лицевого комплекса
A16.23.049.001	Резекция черепно-лицевого комплекса с микрохирургической пластикой ауто- или искусственными имплантами
A16.23.049.002	Резекция черепно-лицевого комплекса с реконструктивно- пластическим компонентом
A16.23.049.003	Резекция черепно-лицевого комплекса с микрохирургической пластикой
A16.23.049.004	Резекция черепно-лицевого комплекса с микрохирургической пластикой с использованием видеоэндоскопических технологий
A16.23.050	Реконструктивные операции при черепно-лицевых новообразованиях
A16.23.050.001	Микрохирургическая пластика черепно-лицевого комплекса с микрохирургической пластикой ауто- или искусственными имплантами
A16.23.051	Удаление гематомы хиазмально-селлярной области
A16.23.051.001	Трансназальное удаление гематомы хиазмально-селлярной области
A16.23.051.002	Транскраниальное удаление гематомы хиазмально-селлярной области
A16.23.052	Пластика ликворной фистулы
A16.23.052.001	Эндоскопическая эндоназальная пластика ликворной фистулы основания черепа
A16.23.052.002	Эндоскопическая пластика ликворных фистул
A16.23.052.003	Трансназальная пластика ликворных фистул
A16.23.052.004	Установка баллон-катетера в пазуху основной кости
A16.23.052.005	Пластика ликворной фистулы основания черепа эндоназальная с использованием видеоэндоскопических технологий
A16.23.053	Установка вентрикулярного дренажа наружного
A16.23.054	Вентрикуло-перитонеальное шунтирование
A16.23.054.001	Цистоперитонеальное шунтирование
A16.23.054.002	Цисто-вентрикулярное дренирование
A16.23.054.003	Цистоцистернальное дренирование
A16.23.055	Дренирование опухолевых кист полости черепа
A16.23.055.001	Фенестрация стенок кисты с использованием видеоэндоскопических технологий
A16.23.056	Имплантация эпидуральных электродов
A16.23.056.001	Имплантация эпидуральных спинальных электродов
A16.23.056.002	Имплантация эпидуральных электродов над проекцией центральной коры головного мозга
A16.23.057	Коррекция положения эпидуральных электродов
A16.23.057.001	Коррекция положения спинальных электродов
A16.23.057.002	Коррекция положения эпидуральных электродов над проекцией центральной коры головного мозга
A16.23.058	Имплантация нейростимулятора
A16.23.058.001	Имплантация подкожной части нейростимулятора
A16.23.058.002	Имплантация системы электростимуляции периферических нервов
A16.23.059	Пластика дефекта свода черепа
A16.23.059.001	Пластика дефекта свода черепа с использованием аутотрансплантатов из костей свода черепа
A16.23.060	Реконструкция черепно-глазнично-лицевого комплекса
A16.23.060.001	Реконструкция черепно-глазнично-лицевого комплекса. Циркулярная орбитотомия и медиальное перемещение глазниц
A16.23.060.002	Реконструкция черепно-глазнично-лицевого комплекса. Циркулярная орбитотомия и двухсторонняя остеотомия верхней челюсти с медиальным перемещением
A16.23.060.003	Реконструкция черепно-глазнично-лицевого комплекса. Парциальная орбитотомия и медиальное перемещение глазниц
A16.23.061	Удаление новообразования ствола головного мозга
A16.23.061.001	Удаление новообразования ствола головного мозга микрохирургическое
A16.23.061.002	Удаление новообразования ствола головного мозга с применением микрохирургической техники и интраоперационной навигации
A16.23.062	Удаление новообразования мозжечка и IV желудочка головного мозга
A16.23.062.001	Удаление новообразования мозжечка и IV желудочка с применением микрохирургической техники
A16.23.062.002	Удаление новообразования мозжечка и IV желудочка с применением микрохирургической техники и интраоперационной навигации
A16.23.063	Реконструкция лобно-глазничного комплекса
A16.23.064	Реконструкция скуло-лобно-глазничного комплекса
A16.23.065	Реконструкция лобно-носо-глазничного комплекса
A16.23.066	Реконструкция скуло-лобно-носо-глазничного комплекса
A16.23.067	Удаление новообразования больших полушарий головного мозга
A16.23.067.001	Удаление новообразования больших полушарий головного мозга с применением микрохирургической техники
A16.23.067.002	Удаление новообразования больших полушарий головного мозга с применением микрохирургической техники и интраоперационной навигации
A16.23.068	Удаление новообразования головного мозга срединно-глубинной локализации
A16.23.068.001	Удаление новообразования головного мозга срединно-глубинной локализации с применением микрохирургической техники
A16.23.068.002	Удаление новообразования головного мозга срединно-глубинной локализации с применением микрохирургической техники и интраоперационной навигации
A16.23.068.003	Эндоскопическое удаление новообразования головного мозга срединно-глубинной локализации
A16.23.069	Удаление новообразования желудочков мозга
A16.23.069.001	Удаление новообразования желудочков мозга с применением микрохирургической техники
A16.23.069.002	Удаление новообразования желудочков мозга с применением микрохирургической техники и интраоперационной навигации
A16.23.069.003	Эндоскопическое удаление новообразования желудочков мозга
A16.23.071	Удаление новообразования области шишковидной железы головного мозга
A16.23.071.001	Удаление новообразования области шишковидной железы головного мозга с применением микрохирургической техники
A16.23.071.003	Удаление новообразования области шишковидной железы головного мозга с применением микрохирургической техники и интраоперационной навигации
A16.23.071.004	Удаление новообразования IV желудочка с применением микрохирургической техники и с нейрофизиологическим контролем/мониторингом
A16.23.072	Деструкция зоны вхождения задних корешков в спинной мозг
A16.23.073	Удаление новообразования оболочек спинного мозга
A16.23.073.001	Удаление новообразования оболочек спинного мозга с применением микрохирургической техники
A16.23.074	Декомпрессия корешка черепно-мозгового нерва
A16.23.074.001	Декомпрессия корешка черепно-мозгового нерва микроваскулярная с установкой протектора
A16.23.074.002	Декомпрессия корешка черепно-мозгового нерва при нейроваскулярном конфликте
A16.23.075	Удаление новообразования хиазмально-селлярной области и III желудочка головного мозга
A16.23.076	Резекция черепно-глазнично-лицевого комплекса
A16.23.076.001	Резекция черепно-глазнично-лицевого комплекса с микрохирургической пластикой
A16.23.076.002	Резекция черепно-глазнично-лицевого комплекса с микрохирургической пластикой с использованием видеоэндоскопических технологий
A16.23.077	Деструкция подкорковых структур головного мозга
A16.23.077.001	Деструкция подкорковых структур стереотаксическим методом
A16.23.078	Имплантация внутримозговых электродов
A16.23.078.001	Имплантация внутримозговых электродов стереотаксическим методом
A16.23.079	Коррекция положения внутримозговых электродов
A16.23.079.001	Коррекция положения внутримозговых электродов стереотаксическим методом
A16.23.080	Установка стента в желудочковую систему мозга
A16.23.080.001	Установка стента в желудочковую систему мозга стереотаксическим методом
A16.23.081	Удаление кавернозной ангиомы головного мозга
A16.23.081.001	Удаление кавернозной ангиомы головного мозга с применением микрохирургической техники
A16.23.081.002	Удаление кавернозной ангиомы головного мозга с применением микрохирургической техники и интраперационной навигации
A16.23.082	Удаление новообразования черепных нервов
A16.23.082.001	Удаление новообразования черепных нервов с применением микрохирургической техники
A16.23.082.002	Удаление новообразования черепных нервов с применением микрохирургической техники и интраоперационной навигации
